LogType,EventID,Source,Time,Message
Application,1000,Application Error,Tue Apr 15 09:22:29 2025,HxTsr.exe 16.0.14326.22328 67db3bcc hxcomm.dll 16.0.14326.22328 67db3b3b 0109f190 00000000001e7dec 0x266c 0x1dbadd723edaa8f C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22328.0_x64__8wekyb3d8bbwe\HxTsr.exe C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22328.0_x64__8wekyb3d8bbwe\hxcomm.dll e5b251a5-859d-4a12-b066-3dd215b8e3b8 microsoft.windowscommunicationsapps_16005.14326.22328.0_x64__8wekyb3d8bbwe ppleae38af2e007f4358a809ac99a64a67c1
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:06 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:06 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:47:06 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:04 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:03 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:03 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:22:00 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Apr 14 12:18:08 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
